tconst,cinemeta_title,cinemeta_directors,cinemeta_writers
tt0016042,The Love Gamble,Edward LeSaint,Maysie Greig (novel); Fanny Hatton (titles); Frederic Hatton (titles); Harry O. Hoyt (continuity)
tt0016044,The Love Hour,Herman C. Raymaker,\N
tt0016255,Queen of Spades,Harry L. Fraser,\N
tt0016316,Scandal Street,Whitman Bennett,Frank R. Adams (story)
tt0016374,A Son of His Father,Victor Fleming,Anthony Coldeway; Harold Bell Wright (novel)
tt0016522,Whistling Jim,Wilbur McGaugh,\N
tt0016633,Beatrice Cenci,Baldassarre Negroni,Luciano Doria (screenplay); Torello Rolli (screenplay)
tt0016642,Bertha the Sewing Machine Girl,Irving Cummings,\N
tt0016652,Bigger Than Barnum's,Ralph Ince,\N
tt0016682,The Broadway Boob,Joseph Henabery,\N
tt0016765,The Dangerous Dub,Richard Thorpe,James Madison; Richard Thorpe
tt0016832,Exit Smiling,Sam Taylor,\N
tt0016884,Flesh and the Devil,Clarence Brown,Benjamin Glazer; Hermann Sudermann; Marian Ainslee
tt0016946,Hands Across the Border,David Kirkland,Frances Marion (story); William E. Wing (scenario); Malcolm Stuart Boylan (titles)
tt0017051,Laddie,James Leo Meehan,Jeanette Porter Meehan; Gene Stratton-Porter
tt0017156,The Miracle of Life,Stanner E.V. Taylor,Elizabeth Musgrave; Olga Printzlau (story)
tt0017561,Wild to Go,Robert De Lacey,F.A.E. Pine (adaptation); F.A.E. Pine (screenplay)
tt0017723,By Whose Hand?,Walter Lang,Marion Orth (screenplay); Marion Orth (story)
tt0017845,Eins + Eins = Drei,Felix Basch,B�la Bal�zs; Henry Koster
tt0017874,Festas da Curia,Jos� Leit�o de Barros,\N
tt0018084,Let It Rain,Edward F. Cline,\N
tt0018164,The Missing Link,Charles Reisner,\N
tt0018479,A Texas Steer,Richard Wallace,Garrett Graham; Bernard McConville
tt0018515,Two Arabian Knights,Lewis Milestone,Wallace Smith (screen version); Cyril Gardner (screen version); Donald McGibney (original story); James T. O'Donohoe (continuity); George Marion Jr. (titles)
tt0018606,Sword of Penitence,Yasujirō Ozu; Torajirō Saitō,\N
tt0018719,Breed of the Sunsets,Wallace Fox,Randolph Bartlett; Oliver Drake
tt0018842,Domestic Meddlers,James Flood,Fanny Hatton; Frederic Hatton; Wellyn Totman
tt0018853,Driftwood,Christy Cabanne,Mort Blumenstock; Lillie Hayward
tt0019076,The Law of the Mounted,J.P. McGowan,Philip Schuyler (scenario); Sally Winters (story)
tt0019175,Moy syn,Yevgeni Chervyakov,Yevgeni Chervyakov; Nikolay Dirin; Yuri Gromov; A. Turin
tt0019292,Prep and Pep,David Butler,John Stone (story); John Stone (scenario); Malcolm Stuart Boylan (titles)
tt0019380,The Showdown,Victor Schertzinger,Houston Branch (play); Ethel Doherty (adaptation); Ethel Doherty (screenplay); John Farrow (titles); Hope Loring (adaptation); Hope Loring (screenplay)
tt0019463,That's My Daddy,Fred C. Newmeyer,\N
tt0019663,Aveiro Desportivo,\N,\N
tt0019877,Figaro,Tony Lekain; Gaston Ravel,Beaumarchais (plays); Tony Lekain; Gaston Ravel
tt0019992,The Hole in the Wall,Robert Florey,Pierre Collings; Frederick J. Jackson (play)
tt0020000,Hot Stuff,Mervyn LeRoy,Robert S. Carr (screenplay); Robert S. Carr (story); Humphrey Pearson (screenplay); Humphrey Pearson (titles); Louis Stevens
tt0020081,The Last of Mrs. Cheyney,Sidney Franklin,\N
tt0020261,Passion Song,Harry O. Hoyt,Camille Collins; Francis Fenton
tt0020475,Diary of a Lost Girl,Georg Wilhelm Pabst,Margarete Böhme; Rudolf Leonhardt
tt0020867,The Eyes of the World,Henry King,\N
tt0020942,Grumpy,George Cukor; Cyril Gardner,Doris Anderson; Horace Hodges; Thomas Wigney Percyval
tt0021299,Ridin' Law,Harry S. Webb,Carl Krusada (story); Carl Krusada (screenplay)
tt0021412,The Spoilers,Edwin Carewe,Rex Beach; Bartlett Cormack; Agnes Brand Leahy
tt0021707,The Skulls,James W. Horne,\N
tt0021746,Cimarron,Wesley Ruggles,Edna Ferber; Howard Estabrook; Louis Sarecky
tt0021905,A Gentleman of Paris,Sinclair Hill,Sewell Collins; Sidney Gilliat; Niranjan Pal (novel)
tt0022371,Sheer Luck,Bruce M. Mitchell,Bruce M. Mitchell
tt0022509,Tukkipojan morsian,Erkki Karu,Erkki Karu
tt0022582,The Yellow Ticket,Raoul Walsh,Guy Bolton; Jules Furthman; Michael Morton (play)
tt0022771,Ladies Hairdresser,René Guissart,\N
tt0023749,Air Hostess,Albert S. Rogell,Grace Perkins; Milton Raison; Keene Thompson
tt0023941,Destination Unknown,Tay Garnett,Tom Buckingham
tt0023987,Enemy of the Police,George King,\N
tt0024046,Gallant Lady,Gregory La Cava,Douglas Z. Doty (story); Gilbert Emery (story); Sam Mintz
tt0024343,Mistigri,Harry Lachman,\N
tt0024370,The Night of the Great Love,Géza von Bolváry,\N
tt0024383,Night of the Garter,Jack Raymond,Wilson Collison (play); Marjorie Gaffney; Avery Hopwood (play); Austin Melford
tt0024653,Their Night Out,Harry Hughes,George Arthurs; Harry Hughes
tt0024690,Trailing North,John P. McCarthy,Harry L. Fraser (story); John Morgan (adaptation)
tt0026050,L'albergo della felicità,Giuseppe Vittorio Sampieri,Leo Mezzadri; Giuseppe Vittorio Sampieri
tt0026073,Annie Oakley,George Stevens,Joel Sayre; John Twist; Joseph Fields
tt0026605,The Last Days of Pompeii,Ernest B. Schoedsack; Merian C. Cooper,Ruth Rose; Boris Ingster; James Ashmore Creelman
tt0026949,The Roof,George A. Cooper,\N
tt0027075,A Tale of Two Cities,Jack Conway; Robert Z. Leonard,Charles Dickens; W.P. Lipscomb; S.N. Behrman
tt0027330,Ballerine,Gustav Machat�,\N
tt0027393,Brand of the Outlaws,Robert N. Bradbury,Forbes Parkhill (screenplay); Forbes Parkhill (story)
tt0027687,The Golden Arrow,Alfred E. Green,Michael Arlen (story); Charles Kenyon (screenplay)
tt0027710,A Little Street in Paradise,Martin Frič,\N
tt0027918,Luis Candelas,Fernando Rold�n,Antonio Asenjo; Pedro de Repide
