tconst,omdb_title,omdb_directors,omdb_writers
tt0016374,A Son of His Father,Victor Fleming,Anthony Coldeway; Harold Bell Wright
tt0016522,Whistling Jim,Wilbur McGaugh,Peggy O'Day
tt0016633,Beatrice Cenci,Baldassarre Negroni,Luciano Doria; Torello Rolli
tt0016642,"Bertha, the Sewing Machine Girl",Irving Cummings,Gertrude Orr
tt0016652,Bigger Than Barnum's,Ralph Ince,J. Grubb Alexander; Arthur Guy Empey
tt0016682,The Broadway Boob,Joseph Henabery,Monte M. Katterjohn
tt0016765,The Dangerous Dub,Richard Thorpe,James Madison (story); Richard Thorpe
tt0016832,Exit Smiling,Sam Taylor,Marc Connelly; Sam Taylor; Tim Whelan
tt0016884,Flesh and the Devil,Clarence Brown,Benjamin Glazer; Hermann Sudermann; Marian Ainslee
tt0016946,Hands Across the Border,David Kirkland,Frances Marion; William E. Wing; Malcolm Stuart Boylan
tt0017051,Laddie,James Leo Meehan,Jeanette Porter Meehan; Gene Stratton-Porter (novel)
tt0017156,The Miracle of Life,Stanner E.V. Taylor,Elizabeth Musgrave; Olga Printzlau
tt0017561,Wild to Go,Robert De Lacey,F.A.E. Pine
tt0017723,By Whose Hand?,Walter Lang,Marion Orth
tt0017845,Eins + Eins = Drei,Felix Basch,Béla Balázs; Henry Koster
tt0017874,Festas da Curia,José Leitão de Barros,\N
tt0018084,Let It Rain,Edward F. Cline,Wade Boteler; George Crone; Earle Snell
tt0018164,The Missing Link,Charles Reisner,Charles Reisner; Darryl F. Zanuck
tt0018479,A Texas Steer,Richard Wallace,Garrett Graham; Bernard McConville; Will Rogers
tt0018515,Two Arabian Knights,Lewis Milestone,Wallace Smith; Cyril Gardner; Donald McGibney
tt0018606,Zange no yaiba,Yasujirô Ozu; Torajirô Saitô,Kôgo Noda; Yasujirô Ozu
tt0018719,Breed of the Sunsets,Wallace Fox,Stanner E.V. Taylor; Randolph Bartlett; Oliver Drake
tt0018842,Domestic Meddlers,James Flood,Fanny Hatton; Frederic Hatton
tt0018853,Driftwood,Christy Cabanne,Richard Harding Davis; Lillie Hayward; Mort Blumenstock
tt0019076,The Law of the Mounted,J.P. McGowan,Philip Schuyler (scenario); Sally Winters (story)
tt0019175,Moy syn,Yevgeni Chervyakov,Yevgeni Chervyakov; Nikolay Dirin; Yuri Gromov
tt0019292,Prep and Pep,David Butler,John Stone; Malcolm Stuart Boylan
tt0019380,The Showdown,Victor Schertzinger,Houston Branch; Ethel Doherty; John Farrow
tt0019463,That's My Daddy,Fred C. Newmeyer; Reginald Denny,Pierre Couderc; Albert DeMond; Reginald Denny
tt0019663,Aveiro Desportivo,\N,\N
tt0019877,Figaro,Tony Lekain; Gaston Ravel,Beaumarchais; Tony Lekain; Gaston Ravel
tt0019992,The Hole in the Wall,Robert Florey,Pierre Collings; Frederick J. Jackson
tt0020000,Hot Stuff,Mervyn LeRoy,Robert S. Carr; Humphrey Pearson; Louis Stevens
tt0020081,The Last of Mrs. Cheyney,Sidney Franklin,Frederick Lonsdale
tt0020261,Passion Song,Harry O. Hoyt,Camille Collins; Frank Fenton; Elizabeth Hayter
tt0020475,Diary of a Lost Girl,Georg Wilhelm Pabst,Margarete Böhme; Rudolf Leonhardt
tt0020867,The Eyes of the World,Henry King,Harold Bell Wright; Brewster Morse; Clarke Silvernail
tt0020942,Grumpy,George Cukor; Cyril Gardner,Doris Anderson; Horace Hodges; Thomas Wigney Percyval
tt0021299,Ridin' Law,Harry S. Webb,Carl Krusada (story); Carl Krusada (screenplay)
tt0021412,The Spoilers,Edwin Carewe,Rex Beach; Bartlett Cormack; Agnes Brand Leahy
tt0021707,Los calaveras,James W. Horne,Oliver Hardy; Stan Laurel; H.M. Walker
tt0021746,Cimarron,Wesley Ruggles,Edna Ferber; Howard Estabrook; Louis Sarecky
tt0021905,A Gentleman of Paris,Sinclair Hill,Sewell Collins; Sidney Gilliat; Niranjan Pal
tt0022371,Sheer Luck,Bruce M. Mitchell,Bruce M. Mitchell
tt0022509,Tukkipojan morsian,Erkki Karu,Erkki Karu
tt0022582,The Yellow Ticket,Raoul Walsh,Michael Morton; Jules Furthman; Guy Bolton
tt0022771,Coiffeur pour dames,René Guissart,Paul Armont; Marcel Gerbidon
tt0023749,Air Hostess,Albert S. Rogell,Grace Perkins; Milton Raison; Keene Thompson
tt0023941,Destination Unknown,Tay Garnett,Tom Buckingham
tt0023987,Enemy of the Police,George King,\N
tt0024046,Gallant Lady,Gregory La Cava,Gilbert Emery; Gregory La Cava; Sam Mintz
tt0024343,Mistigri,Harry Lachman,Marcel Achard
tt0024370,Die Nacht der großen Liebe,Géza von Bolváry,Martha Albrand; Katrin Holland
tt0024383,Night of the Garter,Jack Raymond,Wilson Collison; Marjorie Gaffney; Avery Hopwood
tt0024653,Their Night Out,Harry Hughes,George Arthurs; Harry Hughes; Arthur H. Miller
tt0024690,Trailing North,John P. McCarthy,Harry L. Fraser; John Morgan
tt0026050,L'albergo della felicità,Giuseppe Vittorio Sampieri,Leo Mezzadri (story); Giuseppe Vittorio Sampieri (screenplay)
tt0026073,Annie Oakley,George Stevens,Joel Sayre; John Twist; Joseph Fields
tt0026605,The Last Days of Pompeii,Ernest B. Schoedsack; Merian C. Cooper,Ruth Rose; Boris Ingster; James Ashmore Creelman
tt0026949,The Roof,George A. Cooper,David Whitelaw; H. Fowler Mear
tt0027075,A Tale of Two Cities,Jack Conway; Robert Z. Leonard,Charles Dickens; W.P. Lipscomb; S.N. Behrman
tt0027330,Ballerine,Gustav Machatý,Giuseppe Adami; Albrecht Joseph
tt0027393,Brand of the Outlaws,Robert N. Bradbury,Robert N. Bradbury; Forbes Parkhill
tt0027687,The Golden Arrow,Alfred E. Green,Michael Arlen; Charles Kenyon
tt0027710,Das Gäßchen zum Paradies,Martin Fric,Hugo Haas; Otakar Vávra; Georg Wittuhn
tt0027918,Luis Candelas,Fernando Roldán,Antonio Asenjo; Pedro de Repide; Fernando Roldán
tt0028145,Public Nuisance No. 1,Marcel Varnel,Val Guest; Franz Arnold; Roger Burford
tt0028158,Ramona,Henry King,Helen Hunt Jackson; Lamar Trotti; Stuart Anthony
tt0028501,White Fang,David Butler,Jack London; Gene Fowler; Sam Duncan
tt0028534,¿Quién me quiere a mí?,José Luis Sáenz de Heredia; Luis Buñuel,Luis Buñuel; Caballero; Enrique Horta
tt0028873,The Firefly,Robert Z. Leonard,Frances Goodrich; Albert Hackett; Otto A. Harbach
tt0029157,"Live, Love and Learn",George Fitzmaurice,Charles Brackett; Cyril Hume; Richard Maibaum
tt0029280,Mutiny on the Elsinore,Roy Lockwood,Beaufoy Milton; Walter Summers; Jack London
tt0029380,Partners in Crime,Ralph Murphy,Gladys Unger; Garnett Weston; Kurt Steel
tt0029482,Rhythm in the Clouds,John H. Auer,Olive Cooper; Nathanael West; George Mence
tt0029519,Said O'Reilly to McNab,William Beaudine,Leslie Arliss; Marriott Edgar; Howard Irving Young
tt0029764,When's Your Birthday?,Harry Beaumont; Robert Clampett,Harry Clork; John Frederick Ballard; Harvey Gates
tt0030142,Flirting with Fate,Frank McDonald,Daniel Jarrett; A. Dorian Otvos; Joseph Moncure March
tt0030325,Die kleine und die große Liebe,Josef von Báky,Heinrich Oberländer
tt0030384,Lord Jeff,Sam Wood,Bradford Ropes; Endre Bohem; Val Burton
tt0030479,My Bill,John Farrow,Vincent Sherman; Robertson White; Tom Barry
tt0030516,Obras de Arte,José Cottinelli Telmo,\N
tt0030579,Die Pfingstorgel,Franz Seitz,Alois Johannes Lippl; Franz Seitz; Heinz Pauck
tt0030704,Rykmentin murheenkryyni,Yrjö Norta; T.J. Särkkä,Toivo Kauppinen; T.J. Särkkä
tt0030841,Tenth Avenue Kid,Bernard Vorhaus,Gordon Kahn; Adele Buffington
tt0030906,L'ultima carta,Piero Ballerini,Piero Ballerini (screenplay); Giuseppe Guarino (screenplay); Giuseppe Romualdi (play)
tt0030913,Der unmögliche Herr Pitt,Harry Piel,Georg Mühlen-Schulte; Harald Bratt; Reinhold Meißner
tt0031018,Across the Plains,Spencer Gordon Bennet,Robert Emmett Tansey
tt0031277,It Was a Gay Ballnight,Carl Froelich,Jean Victor; Georg Wittuhn; Géza von Cziffra
tt0031337,Frau am Steuer,Paul Martin,Pál Barabás; Paul Martin; Paul Hellbracht
tt0031440,Honeymoon in Bali,Edward H. Griffith,Grace Sartwell Mason; Katharine Brush; Virginia Van Upp
tt0031585,La loi du nord,Jacques Feyder,Maurice Constantin-Weyer; Jacques Feyder; Alexandre Arnoux
tt0031633,Mazô,Hiroshi Inagaki,Kaitaro Hasegawa
tt0031826,The Private Lives of Elizabeth and Essex,Michael Curtiz,Norman Reilly Raine; Æneas MacKenzie; Maxwell Anderson
tt0031889,Saga of Death Valley,Joseph Kane,Karen DeWolf; Stuart Anthony
tt0031914,Seitsemän veljestä,Wilho Ilmari,Kalle Kaarna; Aleksis Kivi; Mika Waltari
tt0031925,Silver on the Sage,Lesley Selander,Clarence E. Mulford; Maurice Geraghty
tt0032456,The Farmer's Daughter,James P. Hogan,Delmer Daves; Lewis R. Foster
tt0032699,To Hell with Hitler,Marcel Varnel,Angus MacPhail; Basil Dearden; John Dighton
tt0033155,Those Were the Days!,Theodore Reed,Don Hartman; George Fitch
tt0033766,It Started with Eve,Henry Koster,Norman Krasna; Leo Townsend; Hanns Kräly
tt0034086,Reaching for the Sun,William A. Wellman,W.L. River; Wessel Smitter
tt0034164,Secret Evidence,William Nigh,Brenda Cline; Edward Bennett
tt0034249,They Met in Moscow,Ivan Pyrev,Viktor Gusev
tt0034379,Week-End in Havana,Walter Lang,Karl Tunberg; Darrell Ware
tt0034593,China Girl,Henry Hathaway,Ben Hecht; Darryl F. Zanuck
tt0034739,Flight Lieutenant,Sidney Salkow,Richard Carroll; Betty Hopkins; Michael Blankfort
tt0034853,Highways by Night,Peter Godfrey,Clarence Budington Kelland; Lynn Root; Frank Fenton
tt0034941,Kid Glove Killer,Fred Zinnemann,Allen Rivkin; John C. Higgins
tt0035089,Mr. Celebrity,William Beaudine,Martin Mooney; Charles Samuels
tt0035111,Nai Duniya,Abdul Rashid Kardar,Khwaja Ahmad Abbas
tt0035117,Il nemico,Guglielmo Giannini,Guglielmo Giannini
tt0035151,Once Upon a Honeymoon,Leo McCarey,Sheridan Gibney; Leo McCarey
tt0035462,Tower of Terror,Lawrence Huntington,John Reinhardt; John Argyle
tt0035591,Zwischen Himmel und Erde,Harald Braun,Harald Braun; Jacob Geis; Otto Ludwig
tt0035726,The Chance of a Lifetime,William Castle,Paul Yawitz; Jack Boyle
tt0036017,Hostages,Frank Tuttle,Lester Cole; Frank Butler; Stefan Heym
tt0036177,The Life of Matsu the Untamed,Hiroshi Inagaki,Mansaku Itami; Shunsaku Iwashita
tt0036347,She's for Me,Reginald Le Borg,Henry Blankfort
tt0036515,Watch on the Rhine,Herman Shumlin; Hal Mohr,Dashiell Hammett; Lillian Hellman
tt0036580,"Adán, Eva y el diablo",Alfredo B. Crevenna,Edmundo Báez; Francisco Cabrera; Alfredo B. Crevenna
tt0036595,Am Ende der Welt,Gustav Ucicky,Gerhard Menzel
tt0037011,Law of the Valley,Howard Bretherton,Joseph O'Donnell
tt0037133,Noche decisiva,Julio de Fleischner,Julio de Fleischner; José María Linares-Rivas
tt0037430,Via Mala,Josef von Báky,John Knittel; Thea von Harbou
tt0037737,Getting Gertie's Garter,Allan Dwan,Wilson Collison; Avery Hopwood; Allan Dwan
tt0038728,The Room Upstairs,Georges Lacombe,Pierre-René Wolf; Pierre Véry; Georges Lacombe
tt0038819,Ouvert pour cause d'inventaire,Alain Resnais,\N
tt0038853,Gates of the Night,Marcel Carné,Jacques Prévert
tt0038873,The Razor's Edge,Edmund Goulding,Lamar Trotti; W. Somerset Maugham; Darryl F. Zanuck
tt0038902,Sag' die Wahrheit,Helmut Weiss,János Vaszary; Ernst Marischka
tt0039024,This Man Is Mine,Marcel Varnel,Reginald Beckwith; Mabel Constanduros; David Evans
