tconst,omdb_title,omdb_directors,omdb_writers
tt3685580,Retro Car Kings,Jesse Stern,Dino Dalle Carbonare
tt36859451,Last Lap,Andy Yardy,N/A
tt36870739,The Woman,Hwang Wook,N/A
tt36877344,City of Evil,Hyun Woo-sung,N/A
tt3687904,\N,\N,\N
tt3688622,Poland Plc,Maxim Ford,N/A
tt3693218,Anna-Lena,Nore Norold,Nore Norold
tt36934619,How to Lose a Popularity Contest,Stephen S. Campanelli,Dorian Keyes; Kaitlin Reilly
tt36939901,One Thread,N/A,N/A
tt36948077,Onde Dormem os Sonhos,N/A,N/A
tt36949548,\N,\N,\N
tt3696764,350 Days - Legends. Champions. Survivors,Fulvio Cecere,Darren Antola
tt36967816,Mumbai Mafia,Brahmani Paras,Puja Changoiwala; Minty Kunwar Tejpal; Saadat Hussain Zaidi
tt36985221,My Dinner with Ai,Joseph Lao,N/A
tt36986014,\N,\N,\N
tt36987619,Moi qui t'aimais,Diane Kurys,Diane Kurys
tt3699572,On the Brain,Kevin Van Stevenson,Brandon Trask
tt36997618,\N,\N,\N
tt36998501,William and Harry in the Public Eye,Louis Dubreuil,Louis Dubreuil
tt37000751,A Horror Zone Wedding,Michael Sabatos Jordan; Ali Francey; Frank Zippay,Michael Sabatos Jordan
tt3700336,Good Wood,N/A,N/A
tt37038719,\N,\N,\N
tt37041335,\N,\N,\N
tt3705514,Luanfeng Heming,Wai-Kwong Chiang,Wai-Kwong Chiang (screenplay)
tt37059840,\N,\N,\N
tt3707082,Mibôjin sentô: Oku made aratte,Satoru Kobayashi,Shûsuke Mikawa
tt37093385,Radio Ghaint (Radio Awesome),N/A,N/A
tt3713644,Amrita,Kakoli Biswas,N/A
tt37141511,\N,\N,\N
tt37146848,\N,\N,\N
tt3714720,The Hollars,John Krasinski,Jim Strouse
tt37154045,\N,\N,\N
tt37156753,Pesnya Sirin,Elena Turova,Sergey Rogatko; Elena Turova
tt37163509,The Electric Kiss,Pierre Salvadori,Robin Campillo; Benjamin Charbit; Benoît Graffin
tt3716942,The Summoning,Steven Rumbelow,Adam Roberts; Steven Rumbelow
tt37174485,\N,\N,\N
tt37174538,\N,\N,\N
tt37180720,Roya Shahr,N/A,N/A
