tconst,omdb_title,omdb_directors,omdb_writers
tt0390939,Bodha Bubukh,N/A,N/A
tt0391222,How to Be a Model (A 12 Step Plan),Allison Beda,Allison Beda
tt0391766,Attack at Dawn,Miguel Torres,N/A
tt0391970,Esclavo y amo,Christian González,Vicente Baldwin
tt0392175,Jai Vijay,Narayanrao D. Sarpotdar,Narayanrao D. Sarpotdar
tt0392478,Nakhreli Nar,Nanubhai Vakil,N/A
tt0393074,La banda de los tanditos,Christian González,N/A
tt0393454,Manos mágicas,Guillermo Jaime Alarid,N/A
tt0393804,Sorathi Yoddho,Fram Sethna,N/A
tt0393897,Tridandi Sanyas,Vishnupant P. Divekar,N/A
tt0395556,Board the Express Train,Muk Kim,Dong-oh Kim
tt0395631,Lamb to the Slaughter,Nicole Barnette,Deborah Cohn; Mari Colabelli; Roald Dahl
tt0396637,Hilde's Journey,Christof Vorster,Gabriele Strohm; Christof Vorster
tt0396781,Peculiarities of the National Politics,Yuri Konopkin; Dmitriy Meskhiev,Aleksandr Rogozhkin
tt0398185,Marde Maidan,N/A,N/A
tt0399516,Property of the State: Gay Men in the Apartheid Military,Gerald Kraak,N/A
tt0399913,Yangsan do,Hyeon-cheol Ahn,Woon-bang Lee
tt0400264,Bus Stop,Mar S. Torres,Benjie Lacson (story); Emmanuel H. Borlaza (screenplay)
tt0401394,Duel,Ahmad Reza Darvish,Ramin Mebdy
tt0401762,Rupkatha,Souren Sen,Souren Sen
tt0402039,"Avant les assises, une affaire de viol",Olivier Ballande,Olivier Ballande
tt0402607,Tum: A Dangerous Obsession,Aruna Raje,Manisha Korde; Aruna Raje
tt0404401,Satilik kizlar,Süha Dogan,Süha Dogan
tt0404755,Alice in Storageland,Fred Jardin,Fred Jardin
tt0405069,Kabhi Kranti Kabhi Jung,N/A,N/A
tt0405152,Der Menschenforscher,Andrea Gschwendtner,Andrea Gschwendtner
tt0405676,All the King's Men,Steven Zaillian,Steven Zaillian; Robert Penn Warren
tt0405838,Cold Intelligence,Michael Denney,Michael Denney
tt0407003,Secret Conversations,Hun Choi,Chi-hon Kim; Il-ro Kwak
tt0407300,Völegény,László Vámos,Péter Müller; Ernö Szép
tt0407338,Zero in condotta,Giuliano Carnimeo,Giorgio Mariuzzo
tt0407872,Hirsiz,Zafer Davutoglu,Osman F. Seden
tt0408209,Spook,Barry W. Levy,Barry W. Levy
tt0409074,Nagaruru sake,Eiichi Matsumoto,N/A
tt0409097,Nueva Ecija,N/A,N/A
tt0411753,Geraldine's Fortune,John N. Smith,Tim Burns; Michel Tremblay
tt0411900,Soytari,Hulki Saner,Hulki Saner
tt0413234,Das Schlangenfischkanu - Eine Flußreise in Amazonien,Herbert Brödl,Silvano Agosti; Herbert Brödl
tt0413677,Altin Kollu Adam,Aram Gülyüz,Erdogan Tünas
tt0413681,Anadolu kanunu,Hasan Kazankaya,Sinasi Önengüt
tt0414075,Haebaragi gajok,Seong-bok Park,Ki-pal Kim
tt0414798,54 Grad,Stefan Trampe,Frank Schlößer
tt0416206,Santos peregrinos,Juan Carlos Carrasco,Juan Carlos Carrasco; José Antonio Carreón
tt0417056,Pledge This!,William Heins; Strathford Hamilton,Cheryl Guerriero; Anna Obropta
tt0417106,Samba,V.V. Vinayak,G.S. Rao; Kona Venkat; V.V. Vinayak
tt0417243,Vitâru,Shin'ya Tsukamoto,Shin'ya Tsukamoto
tt0418081,Prinsesang gusgusin,Mario O'Hara,Pablo S. Gomez
tt0418257,The Truth or Consequences of Delmas Howe,Matt Sneddon,N/A
tt0418689,Flags of Our Fathers,Clint Eastwood,William Broyles Jr.; Paul Haggis; James Bradley
tt0418813,Kung tayo'y magkakalayo,Mel Chionglo,N/A
tt0418819,Land of the Dead,George A. Romero,George A. Romero
tt0419173,Sanuvam Amerika,Lidiya Zlateva,Lidiya Zlateva
tt0419279,Yesterday,Darrell Roodt,Darrell Roodt
tt0419837,Ildae yeongwoong,Beom-gu Kang,Cheon-ho Jang
tt0420132,Ribâ,Takayuki Suzui,Takayuki Suzui
tt0420344,Zwölf Stühle,Ulrike Ottinger,Ilya Ilf; Ulrike Ottinger; Yevgeni Petrov
tt0420971,13dici a tavola,Enrico Oldoini,Enrico Oldoini
tt0422066,At the End of Darkness,Abolghasem Malakouti,Fereydoun Saghafi
tt0422067,Dominion,Larry Anderson; Larry Anderson; Greg Myers,Lia Scott Price
tt0422462,Ill Fated,Mark A. Lewis,Mark A. Lewis; John Callander
tt0423368,Thin Air,Laura E. Davis,Laura E. Davis
tt0423605,Üsküdar'dan Topkapi'ya,Aram Gülyüz,Aram Gülyüz
tt0423859,Het beloofde land,John Appel,John Appel
tt0424438,Shimyaui nanibja,Yeong-hyo Kim,Yeong-hyo Kim
tt0425195,The Life and Crimes of Citizen Ming,Mike Casey,Mike Casey
tt0425419,Sambyakurokujugo ya - Osaka-hen,Kon Ichikawa,Seijiro Kojima; Kennosuke Morooka; Kennosuke Tateoka
tt0425531,Teri Kasam,A.C. Trilogchander,Gyandev Agnihotri; A.C. Trilogchander
tt0426582,Stalin's Wife,Slava Tsukerman,Slava Tsukerman
