tconst,omdb_title,omdb_directors,omdb_writers
tt0003442,Tess of the D'Urbervilles,J. Searle Dawley,Thomas Hardy
tt0003749,The Captain Besley Expedition,Franklin B. Coates,N/A
tt0005626,The Little Dutch Girl,Emile Chautard,E. Magnus Ingleton; Ouida
tt0005921,Pretty Mrs. Smith,Hobart Bosworth,Elmer Harris; Oliver Morosco
tt0007102,Muñecos,Benito Perojo,Benito Perojo
tt0007430,The Target,Norval MacGregor,Robert N. Bradbury
tt0008502,The Red Ace,Jacques Jaccard,Jacques Jaccard
tt0008855,El aventurero misterioso,Eusebio Fernández Ardavín,Eusebio Fernández Ardavín; Eusebio Fernández Ardavín
tt0009540,"The Red, Red Heart",Wilfred Lucas,Bess Meredyth; Honore Morrow
tt0010317,Die Jugendsünde,Georg Alexander,Ludwig Anzengruber (play)
tt0011436,Der Mann ohne Namen - 1. Der Millionendieb,Georg Jacoby,Georg Jacoby; Robert Liebmann; Ewald Gerhard Seeliger
tt0012177,Spanish Flower or the Bullfighter's Story,Helena Cortesina; José María Granada,José María Granada
tt0012403,Lonely Heart,John B. O'Brien,H.H. Caldwell; Anthony Paul Kelly; Edgar Selwyn
tt0013030,The Cowboy and the Lady,Charles Maigne,Clyde Fitch; Julien Josephson
tt0014059,Frauenmoral,Theo Frenkel,Paul Beyer; Theo Frenkel
tt0014852,Don't Call It Love,William C. de Mille,Clara Beranger; Hubert Osborne; Julian Street
tt0015647,Broadway Lady,Wesley Ruggles,Fred Myton
tt0015793,Fangs of Wolfheart,Charles R. Seeling,N/A
tt0016551,Women and Gold,James P. Hogan,Betty Grace Hartford; James P. Hogan
tt0017500,The Unknown Cavalier,Albert S. Rogell,Kenneth Perkins; Marion Jackson; Don Ryan
tt0017743,Chang: A Drama of the Wilderness,Merian C. Cooper; Ernest B. Schoedsack,Achmed Abdullah; Merian C. Cooper; Ernest B. Schoedsack
tt0017829,Dress Parade,Donald Crisp,Alexander Chilton; Douglas Z. Doty; Robert Glassburn
tt0018336,The Romantic Age,Robert Florey,Dorothy Howell
tt0018953,The Grain of Dust,George Archainbaud,Frances Hyland; Paul Perez; David Graham Phillips
tt0020514,The Trespasser,Edmund Goulding,Edmund Goulding
tt0020803,Dames Ahoy,William James Craft,Sherman L. Lowe; Albert DeMond; Matt Taylor
tt0021404,The Song of the Flame,Alan Crosland,Oscar Hammerstein II; Otto A. Harbach; Gordon Rigby
tt0021483,Tom Sawyer,John Cromwell,Mark Twain; Grover Jones; William Slavens McNutt
tt0022101,M'Blimey,J. Elder Wills,C.H. Dand; Hans Nieter
tt0024950,Il cappello a tre punte,Mario Camerini,Ercole Patti; Ivo Perilli; Mario Soldati
tt0024952,Caravan,Erik Charell,Erik Charell; Hanns Kräly; Melchior Lengyel
tt0025512,Mon coeur t'appelle,Carmine Gallone; Serge Veber,Ernst Marischka; Emeric Pressburger
tt0026542,Jalna,John Cromwell,Mazo de la Roche; Garrett Fort; Lawrence P. Bachmann
tt0026546,Jérôme Perreau héros des barricades,Abel Gance,Henry Dupuis-Mazuel; Paul Fékété; Abel Gance
tt0027060,Super-Speed,Lambert Hillyer,Harold Shumate
tt0027535,Don't Get Personal,Charles Lamont; William Nigh,"Wilhelm Thiele (story ""Tomorrow is a Better Day""); Edmund L. Hartmann (story ""Tomorrow is a Better Day""); George Waggner (screenplay); Clarence Marks (screenplay); Houston Branch (screenplay)"
tt0028220,Savoy-Hotel 217,Gustav Ucicky,Gerhard Menzel
tt0029085,Bubi,Béla Gaál,Felix Jackson; Max Kolpé
tt0029141,Liebe kann lügen,Heinz Helbig,Fred Andreas; Erich Ebermayer; Franz Wallner-Basté
tt0029328,You're in the Army Now,Raoul Walsh,Lesser Samuels; Ralph Gilbert Bettison; Austin Melford
tt0030981,Wives Under Suspicion,James Whale,Myles Connolly; Ladislas Fodor
tt0031655,The Minister's Friend,Viktor Bánky,Viktor Bánky; István Békeffy
tt0031703,Mystery Plane,George Waggner,Paul Schofield; George Waggner; Hal Forrest
tt0032793,Military Academy,D. Ross Lederman,Karl Brown; David Silverstein; Richard English
tt0033156,Thou Shalt Not Kill,John H. Auer,Robert Presnell Sr.; George Carleton Brown
tt0033880,Margherita fra i tre,Ivo Perilli,Nicola Manzari; Renato May; Fritz Schwiefert
tt0034417,"Those Were The Days, Senor Don Simon!",Julio Bracho,Neftali Beltrán; Julio Bracho
tt0034497,Raigekitai Shutsudô,Kajirô Yamamoto,Kajirô Yamamoto
tt0034876,Huella de luz,Rafael Gil,Wenceslao Fernández Flórez; Rafael Gil
tt0034887,Idyll in Mallorca,Max Neufeld,Félix Aguilera; Max Neufeld (screenplay); Max Neufeld (story)
tt0035028,Man from Headquarters,Jean Yarbrough,John W. Krafft; Edmond Kelso; Rollo Lloyd
tt0035220,Private Snuffy Smith,Edward F. Cline,Billy DeBeck; John Grey; Jack Henley
tt0037856,Kyläraittien kuningas,Jorma Nortimo,Kaarle Halme; Kalle Kaarna
tt0038428,Cowboy Blues,Ray Nazarro,J. Benton Cheney
tt0038504,Earl Carroll Sketchbook,Albert S. Rogell,Frank Gill Jr.; Parke Levy
tt0038582,A Guy Could Change,William K. Howard,F. Hugh Herbert; Al Martin
tt0038878,Renegades,George Sherman,Harold Shumate; Melvin Levy; Francis Edward Faragoh
tt0039068,Uno tra la folla,Ennio Cerlesi,Ennio Cerlesi; Massimo Rendina; Piero Tellini
tt0040489,Jinx Money,William Beaudine,Edmond Seward; Tim Ryan; Gerald Schnitzer
tt0041332,El Paso,Lewis R. Foster,Lewis R. Foster; J. Robert Bren; Gladys Atwater
tt0042566,Hokm al kawi,Hasan El-Emam,Hasan El-Emam
tt0044122,This Is Korea!,John Ford,James Warner Bellah
tt0045619,Champ for a Day,William A. Seiter,Irving Shulman; W.G. Fay
tt0045809,Genkai no wani,N/A,N/A
tt0046237,Resan till dej,Stig Olin,Stig Olin; Hasse Ekman
tt0046718,Anupama,Agradoot,N/A
tt0047027,La gitana y el charro,Gilberto Martínez Solares,Jesús María de Arozamena; José María Fernández; Blanca Estela Limón
tt0048283,Land of the Pharaohs,Howard Hawks,William Faulkner; Harry Kurnitz; Harold Jack Bloom
tt0049108,Crowded Paradise,Fred Pressburger; Ben Gradus,Marc Connelly; Arthur Forrest
tt0049784,Early Spring,Yasujirô Ozu,Kôgo Noda; Yasujirô Ozu
tt0050910,Mad Little Island,Michael Relph,Compton MacKenzie; Monja Danischewsky
tt0053337,Teenagers from Outer Space,Tom Graeff,Tom Graeff
tt0054285,Atom Age Vampire,Anton Giulio Majano,Piero Monviso; Gino De Santis; Alberto Bevilacqua
tt0055613,"Watch It, Sailor!",Wolf Rilla,Falkland L. Cary; Philip King
tt0056289,The Notorious Landlady,Richard Quine,Larry Gelbart; Blake Edwards; Margery Sharp
tt0056468,The Condemned of Altona,Vittorio De Sica,Jean-Paul Sartre; Cesare Zavattini; Abby Mann
tt0056935,Cinderella,N/A,Charles Perrault
tt0057076,From Russia with Love,Terence Young,Richard Maibaum; Johanna Harwood; Ian Fleming
tt0057189,Island of Love,Morton DaCosta,David R. Schwartz; Leo Katcher
tt0059036,I cento cavalieri,Vittorio Cottafavi,Vittorio Cottafavi; Giorgio Prosperi; José María Otero
tt0059043,The Collector,William Wyler,John Fowles; John Kohn; Stanley Mann
tt0059482,Las mujeres los prefieren tontos,Luis Saslavsky,Carlos Llopis; Abel Santa Cruz; Luis Saslavsky
