tconst,omdb_title,omdb_directors,omdb_writers
tt0102737,The Magnificent Scoundrels,Lik-Chi Lee,Lik-Chi Lee; Yiu-Ming Leung; Wellington Fung
tt0102975,Star Trek VI: The Undiscovered Country,Nicholas Meyer,Gene Roddenberry; Leonard Nimoy; Lawrence Konner
tt0102980,Stereo Love,Claudia Messmer,N/A
tt0103055,A Fine Romance,Gene Saks,François Billetdoux; Ronald Harwood
tt0103603,Call Girl '92,Andy Wing-Keung Chin,Andy Wing-Keung Chin; Lai Ling Cheung
tt0103660,"Alyaska, ser!",Vyacheslav Rebrov,Aleksandr Remnyov
tt0103923,Captain America,Albert Pyun,Joe Simon; Jack Kirby; Stephen Tolkin
tt0104120,Don Gio,Michal Caban; Simon Caban,Simon Caban; Michal Caban; Lorenzo da Ponte
tt0104247,Félálom,János Rózsa,István Kardos
tt0104336,Giant Steps,Richard Rose,Paul Quarrington; Greg Dummett
tt0104477,Identifikatsiya zhelanij,Tolib Khamidov,Abelardo Castillo; Anwar Walijew
tt0104548,Jeevan Ek Sanghursh,Rahul Rawail,Javed Akhtar
tt0105483,A Stranger Among Us,Sidney Lumet,Robert J. Avrech
tt0105880,Cash on Delivery,Terry Kay-Ming Tong,Kin Cheung; James Yuen
tt0105897,Zindagi Ek Juaa,Prakash Mehra,Satish Bhatnagar; Prakash Mehra; Rahi Masoom Reza
tt0105901,Zoológico,Fernando Venturini,N/A
tt0106494,Bukfenc,Róbert Pajer,Marcel Pagnol; Róbert Pajer
tt0106664,The Dark Half,George A. Romero,Stephen King; George A. Romero
tt0106796,Eight Hundred Leagues Down the Amazon,Luis Llosa,Laura Schiff; Jack Canson; Jules Verne
tt0106983,Future Shock,Eric Parkinson; Matt Reeves; Oley Sassone,Eric Parkinson; Vivian Schilling; David DuBos
tt0107220,Inside Monkey Zetterland,Jefery Levy,Steve Antin; John Boskovich
tt0107313,Khochu v Ameriku,Sergey Nikonenko,Yaroslav Filippov
tt0107394,Lettre pour L...,Romain Goupil,Romain Goupil
tt0107434,Far from the Barbarians,Liria Bégéja,Philippe Barassat; Liria Bégéja; Olivier Douyère
tt0107572,Daughter of Darkness,Kai-Ming Lai,Kai-Ming Lai
tt0107949,Rescue Me,Arthur Allan Seidelman,Mike Snyder
tt0108468,Usureyuku kioku no nakade,Kazuyuki Shinoda,N/A
tt0109271,Bigfoot: The Unforgettable Encounter,Corey Michael Eubanks,Corey Michael Eubanks
tt0109336,A Brilliant Disguise,Nick Vallelonga,Nick Vallelonga
tt0109929,Grande petite,Sophie Fillières,Sophie Fillières
tt0109974,Halb Wien,Victor Jaschke; Kenan Kili; Leopold Lummerstorfer,N/A
tt0110113,Im Schneeland,Stephan Settele,Stephan Settele
tt0110210,The Violin Player,Charles Van Damme,Jean-François Goyet; André Hodier; Charles Van Damme
tt0110225,Kadotettu paratiisi,Anastasia Lapsui; Markku Lehmuskallio,Anastasia Lapsui; Markku Lehmuskallio
tt0110323,Leila Sakhina,Atef El-Tayeb,Bachir El Dik; Rafik El-Sabban
tt0110353,Lightning Jack,Simon Wincer,Paul Hogan
tt0111063,Oh! My Three Guys,Derek Chiu,Raymond To
tt0111268,Spread the Word: The Persuasions Sing Acapella,Fred Parnes,N/A
tt0111610,Die verlorene Sonnenwende,Bernd Mohr; Thomas Wagner,N/A
tt0111626,Vildbassen,Sven Methling,Torben Nielsen; Peter Bay; Jørgen Kastrup
tt0111649,Végzetes esztendök,András Kisfaludy,N/A
tt0111672,Watchers III,Jeremy Stanford,Dean R. Koontz; Michael Palmer
tt0111812,Z-man's Kinder,Heidi Specogna,Heidi Specogna
tt0112417,Aurelia,Christophe d'Hallivillée,Christophe d'Hallivillée
tt0112430,Babam Askerde,Handan Ipekçi,Handan Ipekçi
tt0113176,La gitana tropical,N/A,N/A
tt0113314,Hollow Reed,Angela Pope,Neville Bolt; Paula Milne
tt0113357,Human Prey,James Adam Tucker,James Adam Tucker
tt0113490,The Journey of August King,John Duigan,John Ehle
tt0113630,Outlaws: The Legend of O.B. Taggart,Rupert Hitzig,Mickey Rooney
tt0113632,Legion of the Night,Matt Jaissle,Matt Jaissle
tt0113840,"Mother Dao, the Turtlelike",Vincent Monnikendam,Vincent Monnikendam
tt0113876,Music Sounds,Boris Penth,N/A
tt0114211,Qi qi shi lian,N/A,N/A
tt0114293,Romancing Sara,Lawrence Lanoff,Lawrence Lanoff
tt0114474,Small Faces,Gillies MacKinnon,Billy MacKinnon; Gillies MacKinnon
tt0114485,All of them Witches,Daniel Gruener,Gabriel González Meléndez; Daniel Gruener
tt0114616,Tarantella,Helen De Michiel,Helen De Michiel; Richard Hoblock
tt0114709,Toy Story,John Lasseter,Joss Whedon; Andrew Stanton; Joel Cohen
tt0114732,Les trois frères,Didier Bourdon; Bernard Campan,Didier Bourdon; Bernard Campan; Michel Lengliney
tt0114775,A Summer in La Goulette,Férid Boughedir,Férid Boughedir; Nouri Bouzid
tt0114883,Die Waffen der Götter,Manfred Christ; Harald Pokieser,N/A
tt0115007,Xiao yuan gan si tui,Ao-Hsin Chin,Cheng-Hsin Lin; Yun-Chiao Yeh
tt0115622,Scarred Memory,Pun-Hei Leung,Kin-Cheong Au; Jen-Tu Hsu; Sa-Fai Wong
tt0115630,Baseball Girls,Lois Siegel,Lois Siegel
tt0116169,Edie & Pen,Matthew Irmas,Victoria Tennant
tt0116341,Forest Warrior,Aaron Norris,Ron Swanson; Galen Thompson
tt0116529,Hide and Seek,Su Friedrich,Su Friedrich; Cathy Nan Quinlan
tt0116534,The Secret Garden,Shinobu Yaguchi,Takuji Suzuki; Shinobu Yaguchi
tt0116708,Joe's So Mean to Josephine,Peter Wellington,Peter Wellington
tt0116843,White Night,Arnon Zadok,Yosh Halevi; Yoav Halevy; Shlomo Kfir
tt0117161,Sleeping Man,Kôhei Oguri,Kiyoshi Kenmochi; Kôhei Oguri
tt0117305,Passage to Paradise,Antonio Baiocco,Antonio Baiocco; Fabrizio Bettelli
tt0117699,Sotto Voce,Mario Levin,Luis Gusmán; Mario Levin; Roberto Scheuer
tt0117826,Bordello of Blood,Gilbert Adler,William M. Gaines; Bob Gale; Robert Zemeckis
tt0117956,3,Christian De Sica,Christian De Sica; Giovanni Veronesi
tt0118992,The Gods Must Be Daring,Michel Deville,Michel Deville; Rosalinde Deville; Donald E. Westlake
tt0119074,Es wird Regen geben - eine Begegnung in Patagonien,Sönke Hansen,N/A
tt0119303,Home Alone 3,Raja Gosnell,John Hughes
tt0119388,Isana no umi,Kazuhiro Higaki,N/A
tt0119617,Marianne,Benoît Jacquot,Marivaux; Benoît Jacquot
tt0119733,Murmur of Youth,Cheng-sheng Lin,So-ching Ko; Cheng-sheng Lin
tt0119935,Preaching to the Perverted,Stuart Urban,Stuart Urban
tt0120142,The Sixth Man,Randall Miller,Christopher Reed; Cynthia Carle
tt0120692,Strike!,Sarah Kernochan,Sarah Kernochan
tt0121473,Lian ai fan dou xing,Ching-Jui Pai,N/A
tt0122367,585 Kiloherz,Heiko Schier,Heiko Schier
tt0122864,Addicted to Love,Paul Thomas,Cash Markman; Chad Randolph
tt0123028,The Betrayal,Tokuzô Tanaka,Seiji Hoshikawa; Tsutomu Nakamura
tt0123061,C - Et hjørne af Danmark,Theodor Christensen,N/A
tt0123253,Journey to the Land of the Traveller,Bahman Kiarostami,N/A
tt0123331,Going Astray,Khosrow Sinai,Khosrow Sinai
tt0123385,Artemisia,Agnès Merlet,Patrick Amos; Agnès Merlet; Christine Miller
tt0123518,Blonde Fire,Bob Chinn,Jeffrey Fairbanks
tt0123558,Bottom Busters,N/A,N/A
tt0123625,Campus Girls,Richard D'Antoni,Lawrence Mayer
tt0123711,Come with Me My Love,Doris Wishman; C. Davis Smith,Bran Toulose; Doris Wishman
tt0123964,Life,Ted Demme,Robert Ramsey; Matthew Stone
tt0124104,La déroute,Paul Tana,Tony Nardi; Bruno Ramirez; Paul Tana
tt0124928,Wienerbarnet,Arne Weel,Fleming Lynge; Svend Rindom
tt0125032,Hotel carton,Sirus Alvand,Sirus Alvand
tt0125215,I'm No Virgin,N/A,N/A
tt0125949,Niel Lynne,David Baker,David Baker; Paul Davies
tt0126031,Singur,Manole Marcus,N/A
tt0126283,The End of War,Dragan Kresoja,Gordan Mihic
tt0127072,Paprika: The Last Italian Whore,Joe D'Amato,N/A
tt0127136,Polymorph,J.R. Bookwalter,J.R. Bookwalter; James L. Edwards
tt0127176,Psychedelic Sexualis,Albert Zugsmith,Albert Zugsmith; Richard von Krafft-Ebing
tt0127575,Girl in Trouble,Brandon Chase,Anthony Naylor; Brandon Chase
tt0127874,The Sexaholic,Mark Novick,N/A
tt0128066,Bagged,Kelly Lawman,N/A
tt0128187,A Entrega do Contratorpedeiro 'Douro' ao Governo,Salazar Dinis,N/A
tt0128417,Praia do Sol,Manuel Luís Vieira,N/A
tt0128611,Stiff Competition,Paul Vatelli,Colin De Jacques; Steve H. Mehoff; Paul Vatelli
tt0128966,Black Mirror,Pierre-Alain Jolivet,Jean-Claude Carrière; Jean Genet; Pierre-Alain Jolivet
tt0129170,O Jardim Zoológico de Lisboa,Fernando Carneiro Mendes,N/A
tt0129273,Olsen-banden,Knut Bohwim,Erik Balling; Henning Bahs
tt0129352,O Sanatório do Outão,N/A,N/A
tt0129993,Das himmelblaue Abendkleid,Erich Engels,Charles Amberg; Berthold Ebbecke; Erich Engels
tt0130259,Sinfonia de Cristal,N/A,N/A
tt0130331,Under den gamle fane,Olaf Fønss,Richard Lund
tt0130619,O Dia da Dona de Casa,Aníbal Contreiras,N/A
tt0130713,Os Funerais do Arcebispo de Braga,N/A,N/A
tt0130730,The Lighthouse Keepers,Jean Grémillon,Paul Autier; Paul Cloquemin; Jacques Feyder
tt0130735,Gesches Gift,Walburg von Waldenfels,Christian Frosch; Walburg von Waldenfels
tt0130757,The Harpist,Hansjörg Thurn,Phil O'Shea; Hansjörg Thurn
tt0130971,Quand je serai parti... vous vivrez encore,Michel Brault,Michel Brault
tt0130996,The Satan Killer,Steve Sayre,Edward Benton; James Brandauer
tt0131775,"Angels Bi Day, Devils Bi Night",Lynn Ray,N/A
tt0131880,Backdoor Adventures of Hanzel and Gretal,N/A,N/A
tt0131978,Blood Orgy of the Leather Girls,Michael A. Lucas,Michael A. Lucas
tt0132051,Con fesse anal,N/A,N/A
tt0132062,Corte Inglês,N/A,N/A
tt0132204,Hatschipuh,Ulrich König,Ulrich König; Franz Marischka; Leon Pulver
tt0132455,Pérola do Atlântico,Mota da Costa; Heinrich Gartner,N/A
tt0132662,Stargames,Greydon Clark,David Reskin; Greydon Clark
tt0132878,Bizarre Life of Dominas,N/A,N/A
tt0133709,La deuda,Nicolás Buenaventura; Manuel José Álvarez,Nicolás Buenaventura
tt0133752,Fallen Arches,Ron Cosentino,Ron Cosentino
tt0133890,Karen's B&D Phone Sex,Bill Majors,N/A
tt0134662,La fruta amarga,Arthur Gregor; José López Rubio,Salvador de Alberich; Antonio de Lara; Lorna Moon
tt0134803,Madhubala,Prahlad Dutt,N/A
tt0134929,Raw Talent,Larry Revene,Joyce Snyder
tt0135131,The Worthless One,Andreas Kontogiannis; Nasos Oikonomopoulos,Stavros Hatzopoulos
tt0135370,Debbie Does Hawaii,Jason Williams,Jason Williams
tt0135420,Fight That Ghost,Sam Newfield,Sam Newfield; Ted Toddy
tt0136169,Erotic Center,Günter Hendel,Alois Brummer; Günter Hendel
tt0136235,Haido,Kostas Dritsas,Kostas Dritsas
tt0136345,Kongo-Express,Eduard von Borsody,Johanna Sibelius; Eduard von Borsody; Ernst von Salomon
tt0136527,Bullets Don't Come Back,Nikos Foskolos,Nikos Foskolos
tt0137512,Faschingszauber,Rudolf Walther-Fein; Rudolf Dworsky,Walter Reisch
tt0137700,Girl Lovers,N/A,N/A
tt0137854,Judy Garland in Concert,Buddy Bregman,N/A
