algorithm,tp,fp,fn,tn,precision,recall,accuracy,specificity,f1,iterations,duration_ms
AccuCopy_FF,1302.0,810.0,175.0,392.0,0.6165,0.8815,0.6323,0.3261,0.7256,3.0,17.0
AccuCopy_FT,1296.0,816.0,181.0,386.0,0.6136,0.8775,0.6278,0.3211,0.7222,2.0,16.0
AccuCopy_TF,1301.0,811.0,176.0,391.0,0.616,0.8808,0.6316,0.3253,0.725,3.0,33.0
AccuCopy_TT,1301.0,811.0,176.0,391.0,0.616,0.8808,0.6316,0.3253,0.725,2.0,21.0
GuessLCA,1301.0,811.0,176.0,391.0,0.616,0.8808,0.6316,0.3253,0.725,4.0,19.0
LTM,187.0,242.0,1290.0,960.0,0.4318,0.1266,0.4281,0.7984,0.1954,500.0,301.0
SimpleLCA,1296.0,816.0,181.0,386.0,0.6136,0.8775,0.6278,0.3211,0.7222,5.0,16.0
ThreeEstimate,1296.0,816.0,181.0,386.0,0.6136,0.8775,0.6278,0.3211,0.7222,100.0,336.0
TruthFinder,1302.0,810.0,175.0,392.0,0.6165,0.8815,0.6323,0.3261,0.7256,2.0,20.0
TwoEstimates,1296.0,816.0,181.0,386.0,0.6136,0.8775,0.6278,0.3211,0.7222,3.0,18.0
Voting,1304.0,808.0,173.0,394.0,0.6174,0.8829,0.6338,0.3278,0.7267,1.0,11.0
