algorithm,tp,fp,fn,tn,precision,recall,accuracy,specificity,f1,iterations,duration_ms
AccuCopy_FF,2237.0,1110.0,309.0,694.0,0.6684,0.8786,0.6738,0.3847,0.7592,3.0,30.0
AccuCopy_FT,2242.0,1105.0,304.0,699.0,0.6699,0.8806,0.6761,0.3875,0.7609,2.0,23.0
AccuCopy_TF,2247.0,1100.0,299.0,704.0,0.6713,0.8826,0.6784,0.3902,0.7626,3.0,52.0
AccuCopy_TT,2246.0,1101.0,300.0,703.0,0.671,0.8822,0.6779,0.3897,0.7623,2.0,42.0
GuessLCA,2242.0,1105.0,304.0,699.0,0.6699,0.8806,0.6761,0.3875,0.7609,4.0,31.0
LTM,526.0,515.0,2020.0,1289.0,0.3938,0.2065,0.4172,0.7146,0.2463,500.0,545.0
SimpleLCA,2243.0,1104.0,303.0,700.0,0.6702,0.881,0.6766,0.388,0.7612,4.0,25.0
ThreeEstimate,2266.0,1081.0,280.0,723.0,0.677,0.89,0.6871,0.4008,0.769,100.0,587.0
TruthFinder,2240.0,1107.0,306.0,697.0,0.6693,0.8798,0.6752,0.3864,0.7602,2.0,34.0
TwoEstimates,2253.0,1094.0,293.0,710.0,0.6731,0.8849,0.6811,0.3936,0.7646,6.0,45.0
Voting,2231.0,1116.0,315.0,688.0,0.6666,0.8763,0.671,0.3814,0.7572,1.0,16.0
