tconst,tmdb_title,tmdb_directors,tmdb_writers
tt0308503,La Ley Del Monte,Alberto Mariscal,Rafael García Travesí
tt0311360,\N,\N,\N
tt0311790,\N,\N,\N
tt0312957,Cradle of the World,\N,\N
tt0313962,Audacity,Georgi Yungvald-Khilkevich,Vasyl Zemlyak
tt0314513,La pistolera,Mario Hernández,\N
tt0316158,\N,\N,\N
tt0318792,\N,\N,\N
tt0322098,\N,\N,\N
tt0322922,Kanlı Para,Orhon Murat Arıburnu,Orhon Murat Arıburnu; Safa Önal
tt0323153,Guests Who Arrived by the Last Train,Yu Hyun-mok,Seong-won Hong
tt0323998,Slim Susie,Ulf Malmros,Ulf Malmros; Petteri Nuottimäki
tt0325852,La mujer y el jockey (Hipódromo),José Suárez,Antonio Botta
tt0330028,Red Cherry 2,Park Ho-tae,Huh Sung-soo
tt0333827,\N,\N,\N
tt0338312,Orient,Gennaro Righelli,Gennaro Righelli; Nunzio Malasomma
tt0345495,\N,\N,\N
tt0345527,Congress for the Unification of Youth,\N,\N
tt0347083,Un giudice di rispetto,Walter Toschi,Bruno Mattei; Bruno Mattei
tt0348476,Love Correction,Marco Mak Chi-Sin,Sharon Hui
tt0349890,One More Life,Gëzim Erebara; Gavrosh Haxhihyseni,Gëzim Erebara; Luan Rama
tt0350671,\N,\N,\N
tt0351155,Kaderim Böyle İmiş,Nejat Saydam,Hüseyin Peyda
tt0353010,Witness,Viji Thamby,Jagathy Sreekumar; Ranjith
tt0353837,\N,\N,\N
tt0353922,\N,\N,\N
tt0354950,\N,\N,\N
tt0355586,\N,\N,\N
tt0358754,\N,\N,\N
tt0365422,\N,\N,\N
tt0365663,Punla,Robert B. Abihay; Cesar Aquino,\N
tt0365907,A Walk Among the Tombstones,Scott Frank,Scott Frank
tt0366295,Chatpati,V. Ravindra,\N
tt0367450,\N,\N,\N
tt0367794,\N,\N,\N
tt0370469,Dobol Trobol,Jose De Villa,Luciano B. Carlos; Mars Ravelo
tt0371950,The Last Day,Michael Heimark,\N
tt0373996,\N,\N,\N
tt0374890,\N,\N,\N
tt0377458,\N,\N,\N
tt0378993,Votre enfant m'intéresse,Jean-Michel Carré,\N
tt0379168,\N,\N,\N
tt0379272,Ek Jaan Hain Hum,Rajiv Mehra,\N
tt0380697,\N,\N,\N
tt0384369,Before the Fall,Dennis Gansel,Dennis Gansel; Maggie Peren
tt0385541,Bazıları Dayak Sever,Mehmet Dinler,\N
tt0387666,\N,\N,\N
tt0389801,Bhogimantalu,\N,\N
tt0391936,\N,\N,\N
tt0392493,\N,\N,\N
tt0392716,\N,\N,\N
tt0393360,\N,\N,\N
tt0393790,\N,\N,\N
tt0397526,\N,\N,\N
tt0398721,\N,\N,\N
tt0398727,The March of Fools,Ha Gil-jong,\N
tt0402763,Americanese,Eric Byler,Eric Byler
tt0407914,Kahit Mabuhay Kang Muli,Efren C. Piñon,\N
tt0409505,\N,\N,\N
tt0410540,Sa Piling ng Iba,Johnny Cruz,Bong Ramos
tt0412863,\N,\N,\N
tt0414939,The Dark Side of Everest,Andrew Palmer,\N
tt0418018,\N,\N,\N
tt0418342,Beyond The Seven Mountains,Arnold Aghababov,Arnold Aghababov; Ye. Grigoryants
tt0418686,Fino a farti male,Alessandro Colizzi,\N
tt0419221,Tuloy ang Ligaya,Manuel Silos,\N
tt0420120,\N,\N,\N
tt0422313,\N,\N,\N
