tconst,directors,writers
tt0024046,nm0478441,nm0256298;nm0478441;nm0591791;nm10936541
tt0024343,nm0480046,nm0009766
tt0024370,nm0902006,nm0016910;nm0390741
tt0024383,nm0713283,nm0172812;nm0300745;nm0394479;nm0577650
tt0024653,nm0400638,nm0037857;nm0400638;nm0587927
tt0024690,nm0565187,nm0292134;nm0604773
tt0026050,nm0760088,nm2319193;nm0760088
tt0026073,nm0828419,nm0768540;nm0878605;nm0276284;nm0011485
tt0026605,nm0774325;nm0178260,nm0741656;nm0409069;nm0187256;nm0048758;nm0404354;nm0827693
tt0026949,nm0178057,nm0925795;nm0575197
tt0027075,nm0176699;nm0502752,nm0002042;nm0513744;nm0067103;nm1892772;nm7454408;nm7454409;nm1898835
tt0027330,nm0532561,nm0010638;nm0430538
tt0027393,nm0102908,nm0102908;nm0662751
tt0027687,nm0337586,nm0035158;nm0448981
tt0027710,nm0294758,nm0351947;nm0904706;nm0937133
tt0027918,nm0738142,nm0038567;nm0720060;nm0738142;nm0868513
tt0028145,nm0890085,nm0346436;nm0036445;nm0121104;nm0249598
tt0028158,nm0454771,nm0413582;nm0873707;nm0031019;nm0289188;nm0397022;nm0943443
tt0028501,nm0124877,nm0518711;nm0288706;nm0242094;nm0518979
tt0028534,nm0844538;nm0000320,nm0000320;nm0127419;nm0395522;nm0670758;nm0880064
tt0028873,nm0502752,nm0329304;nm0352443;nm0361877;nm0621790
tt0029157,nm0280463,nm0102818;nm0401738;nm0537363;nm0663763;nm0137622;nm0542534
tt0029280,nm0517005,nm0590645;nm0838820;nm0518711
tt0029380,nm0614634,nm0881148;nm0922951;nm0824437
tt0029482,nm0041678,nm0178286;nm0922264;nm0578762;nm0094021
tt0029519,nm0064415,nm0035199;nm0249218;nm0949617
tt0029764,nm0064600;nm0163332,nm0167065;nm0050635;nm0309567;nm0102167;nm0701479;nm0359748;nm0531335
tt0030142,nm0567757,nm0418927;nm0653358;nm0545309;nm0577076;nm0478390;nm0167065
tt0030325,nm0902082,nm0643291
tt0030384,nm0939992,nm0570130;nm0740622;nm0123754;nm0092015;nm0204608;nm0274923;nm0939992
tt0030479,nm0268513,nm0792605;nm0925397;nm0058179;nm0082680;nm0343228;nm0441769
tt0030516,nm0183018,\N
tt0030579,nm0782703,nm0513655;nm0782703;nm0666710
tt0030704,nm0635969;nm0845290,nm0442441;nm0845290
tt0030841,nm0615868,nm0434835;nm0119378
tt0030906,nm0050740,nm0050740;nm0322178;nm1524836
tt0030913,nm0682176,nm0618066;nm0105564;nm0577159;nm0682176
tt0031018,nm0071560,nm0849806
tt0031277,nm0296193,nm0896120;nm0937133;nm0025926;nm0858091
tt0031337,nm0552871,nm0052805;nm0552871;nm1969052
tt0031440,nm0341486,nm0556721;nm0116693;nm0888144;nm0280234
tt0031585,nm0275494,nm0176056;nm0275494;nm0036749;nm0816458
tt0031633,nm0408348,nm1717994
tt0031826,nm0002031,nm0706993;nm0533418;nm0027173
tt0031889,nm0437356,nm0223248;nm0031019
tt0031914,nm0407872,nm0433953;nm0457869;nm0909958
tt0031925,nm0782947,nm0611794;nm0313884
tt0032456,nm0003373,nm0202681;nm0287931
tt0032699,nm0890085,nm0534191;nm0213136;nm0226538;nm0577650
tt0033155,nm0715716,nm0366942;nm0280006
tt0033766,nm0467396,nm0469915;nm0870150;nm0473134
tt0034086,nm0920074,nm0729179;nm0810509
tt0034164,nm0631438,nm0166822;nm0071736
tt0034249,nm0701576,nm0348854
tt0034379,nm0485943,nm0876562;nm0912090
tt0034593,nm0368871,nm0372942;nm0953123
tt0034739,nm0758508,nm0140958;nm0394117;nm0087581
tt0034853,nm0324013,nm0445502;nm0740528;nm0272045
tt0034941,nm0003593,nm0729694;nm0383421
tt0035089,nm0064415,nm0600755;nm0760453
tt0035111,nm0439074,nm0007815
tt0035117,nm0316287,nm0316287
tt0035151,nm0564970,nm0316807;nm0564970
tt0035462,nm0403126,nm0718115;nm0034592
tt0035591,nm0105774,nm0105774;nm0312002;nm0525040
tt0035726,nm0145336,nm0946923;nm0102250
tt0036017,nm0878338,nm0170660;nm0124918;nm0382260
tt0036177,nm0408348,nm0411632;nm0412616
tt0036347,nm0494110,nm0087579
tt0036515,nm0795864;nm0005803,nm0358591;nm0375484
tt0036580,nm0187671,nm0126528;nm0127816;nm0187671
tt0036595,nm0879802,nm0579951
tt0037011,nm0107854,nm0640784
tt0037133,nm0281541,nm0281541;nm0511000
tt0037430,nm0902082,nm0461195;nm0902376
tt0037737,nm0245385,nm0172812;nm0394479;nm0245385;nm0223248;nm0081748
tt0038728,nm0480190,nm0937906;nm0905001;nm0480190
tt0038819,nm0720297,\N
tt0038853,nm0138893,nm0699535
tt0038873,nm0332539,nm0873707;nm0560857;nm0953123
tt0038902,nm0919012,nm0903160;nm0548094
tt0039024,nm0890085,nm0065888;nm0175992;nm0262680;nm0497961;nm0599765;nm0681043;nm0884318
tt0039310,nm0498693,nm0498693;nm1661159;nm0108058
tt0039527,nm0220131,nm0220131;nm0352393;nm3600676;nm0902324
tt0039816,nm0683993,nm0788058;nm0363519
tt0039951,nm0550892,nm0108519;nm0183183;nm0367060;nm0373429;nm0850895;nm0919644
tt0039959,nm0819806,nm0811033;nm0363409
tt0040074,nm0439597,nm0303930;nm0453311;nm0656048;nm0829044
tt0040105,nm0477702,nm0382323;nm0477702;nm0865124
tt0040326,nm0643506,nm0260904;nm0053514;nm0303852;nm0643506
tt0040410,nm0853028,nm0155519
tt0040444,nm0782804;nm0002134,nm0297190;nm0285385
tt0040746,nm0000033,nm0002025;nm0358096;nm0491306;nm0372942
tt0040903,nm0107854,nm0203477
tt0041296,nm0337103,nm0056227;nm0337075
tt0041392,nm0105175,nm0931555
tt0041626,nm0593632,nm0319241
tt0041764,nm0102749,nm0019295;nm0102749;nm0529906
tt0042255,nm0245213;nm0631370,nm0245213;nm0301252;nm0631370;nm0675728;nm0816458
tt0042478,nm0403126,nm0355351;nm0403126;nm0856758
tt0042482,nm0003422,nm0110958
tt0042992,nm0946391,nm0934281
tt0043021,nm0348802,nm0341853;nm0348802
tt0043515,nm0812150,nm0555926;nm0677538;nm0812150;nm0829044
tt0043708,nm0623401,nm0794088
tt0044043,nm0627864,nm0286341;nm0718466
tt0044147,nm0484701,nm6342653;nm0484701;nm0819485
tt0044210,nm0257638,nm0355963
tt0044569,nm0548098,nm0548098;nm3076408;nm0960177
tt0044582,nm0252475,nm0252475
tt0044814,nm0026088,nm0458103
tt0044848,nm0618170,nm0415696
tt0044852,nm0002045,nm0282437
tt0044928,nm0454028,nm0178785
tt0044966,nm0002179,nm0355963
tt0045354,nm0868315,nm0868315;nm0529854;nm0708518;nm0654839;nm0654843
tt0045525,nm0147158,nm0147158;nm0816458
tt0045595,nm0057022,nm0057022;nm0211054
tt0045834,nm0624032,\N
tt0045873,nm0845290,nm0513040;nm0627285
tt0046161,nm0950109,nm0537363;nm0637793;nm0058905;nm0761573
tt0046322,nm0703689,nm0448839;nm0722289
tt0046369,nm0754286,nm0066146
tt0046394,nm0902082,nm0123110;nm0319343;nm0577838;nm0799605
tt0046429,nm0138893,nm0957652;nm0138893;nm0816458
tt0046467,nm0902082,nm0077056;nm0194492;nm0562346;nm0796242
tt0046492,nm0524995,nm0113954;nm0287931;nm0588003;nm0608962
tt0047054,nm0552871,nm0626773;nm0849911
tt0047267,nm0557840,nm0011657;nm1364909;nm0104302;nm0335902;nm0557840;nm0699750
tt0047673,nm0002031,nm0469915;nm0659085;nm0291035
tt0048006,nm0502752,nm5997181;nm0274767;nm0315060;nm0539360;nm0553916;nm0598102;nm0682592;nm0758357;nm0814958
tt0048082,nm0458033,nm0830161;nm0783802;nm0458033
tt0048212,nm0080615,nm0545527;nm0582706
tt0048284,nm0118210;nm0796057,nm0462216;nm0796057
tt0048779,nm0006615,nm0006615;nm0211457;nm0753728;nm0957995
tt0049018,nm0930536;nm0322226,nm0346436;nm0484479
