tconst,directors,writers
tt0083853,nm0436089,nm1895039
tt0084547,nm0194399,nm0194399;nm2184946
tt0084857,nm0259474;nm0517712;nm0496355,nm0381247;nm0517712;nm0676003;nm0496355
tt0085234,nm0427880,nm0056217
tt0085527,nm0161615,nm0106404;nm0161615;nm0472695
tt0085922,nm0044933,nm0044933;nm0538056
tt0086218,nm0561797,nm0821884;nm1478066
tt0086550,nm0603294,nm0002191;nm0603294;nm0802859
tt0086962,nm0065303,nm0065303;nm0221991
tt0088344,nm0653620,nm0653620;nm0860019
tt0089103,nm0006621,nm0613446;nm0006621
tt0089467,nm0717305,nm0363970;nm0690513;nm0079442;nm0717305
tt0089945,nm0933505,nm0933505
tt0090022,nm0001410,nm0001410;nm0440461
tt0090832,nm0943195;nm0955362,nm0591836;nm0796162;nm0096507;nm0293902;nm0894523
tt0091545,nm0043668,nm0043668
tt0091707,nm0197889,nm0151620
tt0093018,nm0273628,\N
tt0093714,nm0266668,nm0266668
tt0094121,nm0728271,nm0224765;nm0728271;nm0953301
tt0094379,nm0541806,nm3798570;nm0001437;nm0541806
tt0096132,nm0361864,\N
tt0096224,nm0201815,nm0531464;nm0949526
tt0096346,nm0936123,nm1572419;nm0936123
tt0096951,nm0557751,nm0193955
tt0097135,nm0935095,nm1353930
tt0097395,nm0481681,nm0938944
tt0099098,nm0685494,nm0685494
tt0100198,nm0251893,nm0251893
tt0100705,nm0201283,nm0201283;nm2216099
tt0100922,nm0053268,nm0052794;nm0206646
tt0101295,nm0246499,nm4273791;nm4274735;nm0246499;nm0246607;nm0215609
tt0102790,nm0613843,nm0613843;nm0333069
tt0103800,nm0001031,nm0001031;nm0799442
tt0105393,nm0155620,nm0155620;nm2797918;nm11093829;nm5735183
tt0106204,nm0223522,nm0063357
tt0107214,nm0361864,nm0352780;nm0233544;nm0361864
tt0107374,nm0817664,\N
tt0107398,nm0498477,nm0628805
tt0108113,nm0481663,nm0155165
tt0108304,nm0888993,nm0888993
tt0109734,nm0329604,\N
tt0110773,nm0391356,\N
tt0110839,nm0666674,nm0666674
tt0111580,nm0712994,nm0006249
tt0113471,nm1471273,nm1471273
tt0113701,nm0682174,\N
tt0114618,nm0712994,nm0712994;nm0006249;nm1433589
tt0118756,nm0003606,nm0003606;nm0181924;nm0299692;nm0867374
tt0119422,nm0759181,nm0699802;nm0210807;nm0651543;nm0759181
tt0120537,nm0954437,nm0703228
tt0121158,\N,\N
tt0124294,nm0678249,nm0678249
tt0125373,nm0075520,nm0075520
tt0127586,nm0043472,nm0450777;nm0043472;nm0796665
tt0128355,nm0074966;nm0657098,\N
tt0129192,nm0233981,nm4643450
tt0131588,nm0881595,nm0097180
tt0132351,nm0344660,nm6267663
tt0138835,nm0158557,nm1190995;nm1028572
tt0140275,nm0313745,nm0287566
tt0141656,nm0210701,\N
tt0143234,nm0439971,\N
tt0146020,nm0010799,nm0919090
tt0151119,nm0760547,nm0573609;nm0760547
tt0153074,nm0710220,nm0123640;nm9943824;nm0166283
tt0154529,nm0002193,\N
tt0155221,nm2055188,\N
tt0155608,nm0224543,nm0224543;nm0433562;nm0592238
tt0155986,nm0269203,nm0124482;nm0148040;nm0269203
tt0156481,nm0166996,nm0166996;nm0222164
tt0156541,nm0080389,\N
tt0158605,nm0159347,\N
tt0158671,nm0002089,nm0528753;nm0742138
tt0158786,nm0086960,nm0086960;nm0148040;nm0310176
tt0160683,nm0238810,nm0666970;nm0687402;nm2057893;nm0207972
tt0160698,nm0777579;nm0890976,nm0004454;nm0291047;nm0509510;nm0000697
tt0163541,nm0336082,\N
tt0164555,nm0419865,nm0782711
tt0165817,nm0265962,\N
tt0168146,nm0773155;nm0944280,nm0773155;nm0944280
tt0168922,nm0256149;nm0761954,nm0206230;nm0761954;nm0256149
tt0170277,nm0117432;nm0301483;nm0472406,nm0617361
tt0170372,nm0015004,nm0015004;nm13919845;nm0947710
tt0172524,nm0503982;nm0612914,nm0503982;nm0539165;nm0612914
tt0172850,nm0470729,nm0470729;nm0546394
tt0173027,nm0474528,\N
tt0173676,nm0019841,nm0692620
tt0173966,nm0705497,nm0705497
tt0175149,nm0781986,nm0592735;nm0781986;nm0892166
tt0175890,nm0618034,nm0418600;nm0618034
tt0177152,nm0094274,nm0094274
tt0178867,nm0595768,nm1263217;nm0595768
tt0180047,nm0786470,nm0302175;nm0350022
tt0180316,nm0317328,nm0223059
tt0180748,nm0647718,nm0421314
tt0181641,nm0408389,\N
tt0182358,nm0536304,nm0800548
tt0182793,nm0347728,nm0347728
tt0183306,nm0214964,nm0014137;nm0214964;nm0223585
tt0184537,nm1077209;nm0645661,nm0910977
tt0185439,nm0403226,nm1540935;nm2432227
tt0185852,nm0047971,nm0047971
tt0187583,nm0271771,nm0271771;nm0532493;nm0208310
tt0187591,nm0421721,\N
tt0187708,nm0271825,\N
tt0187712,nm0280396,nm0280396;nm0393861
tt0189091,nm0281463,nm0266060;nm0281463
tt0189429,nm0456223,\N
tt0189896,nm0871399,\N
tt0191437,nm0655230,nm3319417
tt0192086,nm0258477;nm0547155,nm0555711
tt0192612,nm0032786,nm0032787
tt0194557,nm0151843,\N
tt0196155,nm0495902,nm0495902
tt0196220,nm0266691,nm0266691
tt0196793,nm0875175,nm0875175
tt0197047,\N,\N
tt0197121,nm0005731;nm0592238,nm0592238
tt0197661,nm12148596,nm12148596
tt0197811,nm0585931,nm0114212;nm0519079;nm0897109;nm0956391
tt0199517,nm0386162;nm0726166,\N
tt0201600,nm0735134,nm0180521;nm0735134
tt0202101,nm0950603,nm0393250;nm0950603
tt0202130,nm0129387,nm0129387;nm0181952
tt0202670,nm0878010;nm0538931,nm0440522;nm0538931;nm0878010
tt0203677,nm0291001;nm0847310,\N
tt0205061,nm0508496,\N
tt0205593,nm1982295;nm0498306,nm0498306;nm1977157
tt0206380,nm0159414,nm0816458;nm0928492
tt0206755,nm0210811,\N
tt0207495,nm0905729,nm0010987
tt0208879,nm0305651,\N
tt0210259,nm0056334,nm0014433;nm0213940
tt0212014,nm0691003,\N
tt0214984,nm0243655,\N
